subject_task,binary_relax,binary_valence,binary_arousal
hh2e_Breathing,1,,
hh2e_Video1,1,,
hh2e_Video2,1,,
hh2e_Counting1,1,,
hh2e_Counting2,0,,
hh2e_Stroop,1,,
hh2e_Speaking,1,,
hh2e_Math,0,,
hh2e_Reading,1,,
hh2e_Counting3,0,,
hh2e_Relax,1,,
wfsl_Breathing,1,1,0
wfsl_Video1,1,1,0
wfsl_Video2,0,0,0
wfsl_Counting1,0,0,1
wfsl_Counting2,0,0,1
wfsl_Stroop,0,0,1
wfsl_Speaking,0,0,0
wfsl_Math,0,0,1
wfsl_Reading,0,0,1
wfsl_Counting3,0,0,1
wfsl_Relax,,,
37ir_Breathing,1,0,0
37ir_Video1,0,1,1
37ir_Video2,0,0,1
37ir_Counting1,0,0,1
37ir_Counting2,0,0,1
37ir_Stroop,0,0,1
37ir_Speaking,0,0,1
37ir_Math,1,1,1
37ir_Reading,0,0,1
37ir_Counting3,0,0,1
37ir_Relax,1,1,1
hvpa_Breathing,1,1,1
hvpa_Video1,1,1,1
hvpa_Video2,1,1,1
hvpa_Counting1,1,1,1
hvpa_Counting2,0,1,1
hvpa_Stroop,0,1,1
hvpa_Speaking,1,1,1
hvpa_Math,0,1,1
hvpa_Reading,1,0,1
hvpa_Counting3,0,1,1
hvpa_Relax,1,1,0
ql3b_Breathing,1,0,0
ql3b_Video1,1,1,0
ql3b_Video2,0,0,0
ql3b_Counting1,0,1,1
ql3b_Counting2,0,1,1
ql3b_Stroop,0,0,1
ql3b_Speaking,0,0,1
ql3b_Math,0,1,1
ql3b_Reading,0,1,1
ql3b_Counting3,0,1,1
ql3b_Relax,1,1,1
r0a3_Breathing,1,1,0
r0a3_Video1,1,1,1
r0a3_Video2,1,1,1
r0a3_Counting1,1,0,0
r0a3_Counting2,0,0,0
r0a3_Stroop,0,0,0
r0a3_Speaking,1,1,1
r0a3_Math,0,0,0
r0a3_Reading,0,1,0
r0a3_Counting3,0,0,1
r0a3_Relax,1,1,0
qx2o_Breathing,1,1,0
qx2o_Video1,1,1,0
qx2o_Video2,1,1,0
qx2o_Counting1,1,0,0
qx2o_Counting2,0,0,1
qx2o_Stroop,1,1,0
qx2o_Speaking,0,0,1
qx2o_Math,1,0,1
qx2o_Reading,1,1,0
qx2o_Counting3,0,0,1
qx2o_Relax,0,0,0
wssm_Breathing,1,1,0
wssm_Video1,0,0,0
wssm_Video2,1,0,0
wssm_Counting1,0,0,1
wssm_Counting2,0,0,1
wssm_Stroop,0,0,1
wssm_Speaking,0,0,1
wssm_Math,1,1,1
wssm_Reading,1,0,1
wssm_Counting3,0,0,1
wssm_Relax,1,1,0
ctzy_Breathing,1,1,1
ctzy_Video1,0,0,1
ctzy_Video2,0,0,0
ctzy_Counting1,1,1,1
ctzy_Counting2,0,1,1
ctzy_Stroop,0,1,1
ctzy_Speaking,0,1,1
ctzy_Math,0,1,1
ctzy_Reading,0,0,1
ctzy_Counting3,0,1,1
ctzy_Relax,1,0,0
uyrl_Breathing,1,1,0
uyrl_Video1,1,1,1
uyrl_Video2,1,1,1
uyrl_Counting1,1,0,1
uyrl_Counting2,1,0,0
uyrl_Stroop,0,1,1
uyrl_Speaking,0,0,0
uyrl_Math,0,0,0
uyrl_Reading,1,0,1
uyrl_Counting3,0,1,1
uyrl_Relax,1,0,0
v8mh_Breathing,1,1,0
v8mh_Video1,1,1,1
v8mh_Video2,1,0,1
v8mh_Counting1,0,0,1
v8mh_Counting2,0,0,1
v8mh_Stroop,0,0,1
v8mh_Speaking,0,1,0
v8mh_Math,0,0,1
v8mh_Reading,1,0,1
v8mh_Counting3,0,0,1
v8mh_Relax,1,1,0
45lx_Breathing,1,1,0
45lx_Video1,1,1,0
45lx_Video2,0,0,0
45lx_Counting1,0,0,1
45lx_Counting2,0,0,1
45lx_Stroop,0,0,1
45lx_Speaking,0,0,1
45lx_Math,1,1,1
45lx_Reading,1,1,1
45lx_Counting3,0,0,1
45lx_Relax,1,1,0
r3zm_Breathing,1,0,0
r3zm_Video1,0,0,1
r3zm_Video2,0,0,1
r3zm_Counting1,0,0,1
r3zm_Counting2,0,0,1
r3zm_Stroop,0,0,1
r3zm_Speaking,1,1,0
r3zm_Math,0,1,1
r3zm_Reading,0,0,1
r3zm_Counting3,0,0,1
r3zm_Relax,1,1,0
2hpu_Breathing,1,1,0
2hpu_Video1,0,1,1
2hpu_Video2,0,0,1
2hpu_Counting1,0,1,1
2hpu_Counting2,1,1,1
2hpu_Stroop,0,0,1
2hpu_Speaking,0,0,1
2hpu_Math,0,1,1
2hpu_Reading,1,1,1
2hpu_Counting3,0,1,1
2hpu_Relax,1,1,1
4woj_Breathing,1,1,0
4woj_Video1,1,1,1
4woj_Video2,1,1,1
4woj_Counting1,0,0,1
4woj_Counting2,1,1,1
4woj_Stroop,1,1,1
4woj_Speaking,0,0,1
4woj_Math,1,1,1
4woj_Reading,0,0,1
4woj_Counting3,0,1,1
4woj_Relax,1,1,0
cxj0_Breathing,0,0,1
cxj0_Video1,0,1,0
cxj0_Video2,0,0,1
cxj0_Counting1,0,1,1
cxj0_Counting2,0,0,1
cxj0_Stroop,0,1,1
cxj0_Speaking,1,1,1
cxj0_Math,0,0,1
cxj0_Reading,1,0,0
cxj0_Counting3,0,1,1
cxj0_Relax,1,0,0
tmvd_Breathing,1,1,0
tmvd_Video1,1,1,0
tmvd_Video2,1,0,0
tmvd_Counting1,1,1,1
tmvd_Counting2,0,0,1
tmvd_Stroop,0,1,1
tmvd_Speaking,0,0,1
tmvd_Math,0,0,1
tmvd_Reading,1,1,1
tmvd_Counting3,0,0,1
tmvd_Relax,1,1,0
2ea4_Breathing,1,0,0
2ea4_Video1,1,1,1
2ea4_Video2,1,0,1
2ea4_Counting1,0,0,1
2ea4_Counting2,0,0,1
2ea4_Stroop,1,0,1
2ea4_Speaking,0,0,1
2ea4_Math,1,0,1
2ea4_Reading,1,0,1
2ea4_Counting3,0,0,1
2ea4_Relax,1,1,0
71i5_Breathing,1,0,0
71i5_Video1,0,1,1
71i5_Video2,0,0,1
71i5_Counting1,0,1,1
71i5_Counting2,0,0,1
71i5_Stroop,1,1,1
71i5_Speaking,1,1,1
71i5_Math,0,0,1
71i5_Reading,1,1,1
71i5_Counting3,1,1,1
71i5_Relax,1,1,1
kkf5_Breathing,1,1,0
kkf5_Video1,1,1,1
kkf5_Video2,0,1,1
kkf5_Counting1,1,1,1
kkf5_Counting2,0,1,1
kkf5_Stroop,0,0,1
kkf5_Speaking,0,0,1
kkf5_Math,1,1,1
kkf5_Reading,1,0,1
kkf5_Counting3,1,1,1
kkf5_Relax,1,1,0
uymz_Breathing,1,0,0
uymz_Video1,1,0,1
uymz_Video2,1,0,0
uymz_Counting1,1,0,1
uymz_Counting2,1,0,1
uymz_Stroop,0,0,1
uymz_Speaking,1,0,1
uymz_Math,0,0,1
uymz_Reading,0,0,1
uymz_Counting3,0,0,1
uymz_Relax,1,0,0
iqyg_Breathing,1,1,0
iqyg_Video1,0,1,0
iqyg_Video2,0,0,0
iqyg_Counting1,0,0,1
iqyg_Counting2,0,0,1
iqyg_Stroop,0,0,1
iqyg_Speaking,0,0,1
iqyg_Math,1,0,1
iqyg_Reading,1,1,1
iqyg_Counting3,0,1,1
iqyg_Relax,1,1,0
9txq_Breathing,1,1,0
9txq_Video1,0,1,1
9txq_Video2,0,0,1
9txq_Counting1,0,0,1
9txq_Counting2,0,0,1
9txq_Stroop,0,1,1
9txq_Speaking,0,0,1
9txq_Math,0,0,1
9txq_Reading,1,1,1
9txq_Counting3,0,0,1
9txq_Relax,1,1,0
kycf_Breathing,1,1,0
kycf_Video1,1,1,1
kycf_Video2,0,0,1
kycf_Counting1,0,1,1
kycf_Counting2,0,0,1
kycf_Stroop,0,1,1
kycf_Speaking,0,0,1
kycf_Math,0,0,1
kycf_Reading,1,1,1
kycf_Counting3,1,1,1
kycf_Relax,1,1,0
k67g_Breathing,1,1,0
k67g_Video1,0,1,0
k67g_Video2,0,0,0
k67g_Counting1,1,0,0
k67g_Counting2,0,0,0
k67g_Stroop,0,1,0
