,Relax,Stress,Valence,Arousal
hh2e_Breathing,6.0,5.0,,
hh2e_Video1,8.0,2.0,,
hh2e_Video2,7.0,3.0,,
hh2e_Counting1,6.0,5.0,,
hh2e_Counting2,3.0,7.0,,
hh2e_Stroop,6.0,6.0,,
hh2e_Math,5.0,6.0,,
hh2e_Speaking,6.0,6.0,,
hh2e_Reading,8.0,4.0,,
hh2e_Counting3,5.0,7.0,,
hh2e_Relax,6.0,6.0,,
wfsl_Breathing,6.0,4.0,8.0,3.0
wfsl_Video1,6.0,3.0,7.0,2.0
wfsl_Video2,4.0,7.0,4.0,2.0
wfsl_Counting1,1.0,9.0,2.0,8.0
wfsl_Counting2,0.0,10.0,1.0,9.0
wfsl_Stroop,4.0,7.0,4.0,7.0
wfsl_Math,2.0,6.0,3.0,6.0
wfsl_Speaking,5.0,4.0,5.0,5.0
wfsl_Reading,3.0,5.0,5.0,6.0
wfsl_Counting3,3.0,7.0,3.0,6.0
wfsl_Relax,,,,
37ir_Breathing,9.0,2.0,5.0,3.0
37ir_Video1,3.0,3.0,8.0,8.0
37ir_Video2,5.0,4.0,5.0,8.0
37ir_Counting1,3.0,4.0,4.0,8.0
37ir_Counting2,2.0,6.0,3.0,9.0
37ir_Stroop,1.0,7.0,2.0,9.0
37ir_Math,6.0,3.0,6.0,8.0
37ir_Speaking,1.0,8.0,2.0,8.0
37ir_Reading,3.0,7.0,3.0,7.0
37ir_Counting3,5.0,6.0,5.0,8.0
37ir_Relax,7.0,1.0,7.0,6.0
hvpa_Breathing,9.0,1.0,7.0,8.0
hvpa_Video1,7.0,1.0,7.0,7.0
hvpa_Video2,7.0,1.0,7.0,6.0
hvpa_Counting1,6.0,3.0,7.0,7.0
hvpa_Counting2,5.0,4.0,7.0,8.0
hvpa_Stroop,5.0,3.0,7.0,8.0
hvpa_Math,5.0,4.0,7.0,7.0
hvpa_Speaking,6.0,3.0,7.0,8.0
hvpa_Reading,7.0,6.0,5.0,8.0
hvpa_Counting3,5.0,3.0,7.0,8.0
hvpa_Relax,6.0,2.0,6.0,5.0
ql3b_Breathing,10.0,1.0,5.0,2.0
ql3b_Video1,10.0,0.0,8.0,4.0
ql3b_Video2,2.0,9.0,3.0,3.0
ql3b_Counting1,4.0,2.0,6.0,6.0
ql3b_Counting2,4.0,7.0,6.0,6.0
ql3b_Stroop,1.0,8.0,5.0,9.0
ql3b_Math,1.0,7.0,7.0,9.0
ql3b_Speaking,0.0,8.0,5.0,10.0
ql3b_Reading,0.0,9.0,6.0,10.0
ql3b_Counting3,1.0,9.0,6.0,10.0
ql3b_Relax,10.0,0.0,8.0,8.0
r0a3_Breathing,10.0,0.0,8.0,1.0
r0a3_Video1,10.0,6.0,9.0,9.0
r0a3_Video2,7.0,5.0,8.0,8.0
r0a3_Counting1,7.0,5.0,5.0,3.0
r0a3_Counting2,3.0,7.0,5.0,2.0
r0a3_Stroop,2.0,6.0,5.0,3.0
r0a3_Math,5.0,6.0,5.0,3.0
r0a3_Speaking,9.0,2.0,9.0,7.0
r0a3_Reading,5.0,6.0,6.0,3.0
r0a3_Counting3,2.0,8.0,3.0,6.0
r0a3_Relax,10.0,1.0,6.0,2.0
qx2o_Breathing,9.0,2.0,8.0,2.0
qx2o_Video1,9.0,1.0,9.0,2.0
qx2o_Video2,9.0,2.0,9.0,2.0
qx2o_Counting1,7.0,5.0,5.0,5.0
