Tasks;hh2e;wfsl;37ir;hvpa;ql3b;r0a3;qx2o;wssm;ctzy;uyrl;v8mh;45lx;r3zm;2hpu;4woj;cxj0;tmvd;2ea4;71i5;kkf5;uymz;iqyg;9txq;kycf;k67g;chdf;bfl5;dmbd;8g4y;qw5t;h8r2;2z7d;j9h8;9t6n;u3v9;w2t5;7m3c;6k5f;x1q3;r5s8;y9z6;4e8r;5f7t;k2v7;6g6y;9j3o;8i4i;7h5u;h8s1;i9t9;j1u8;m8g5;p9i3;g9j5;h7j3;y8c3;g7r2;f6q3;e5p4;d4n6;c3m7;b2l8;a1k9;t6v9;b9w0
Breathing_relax;6;6;9;9;10;10;9;8;9;9;9;7;6;9;8;3;7;8;7;9;6;8;8;8;8;4;8;8;9;9;9;6;8;6;7;8;6;7;7;1;8;8;10;7;8;6;10;8;8;4;7;9;7;6;7;9;8;9;10;5;4;8;7;5;8
Breathing_stress;5;4;2;1;1;0;2;0;0;1;0;0;3;2;3;7;1;2;5;1;3;1;0;3;0;4;1;1;2;2;1;6;6;4;5;3;0;0;2;0;3;0;0;5;2;2;0;2;3;6;3;1;3;7;2;1;0;1;3;2;6;1;5;5;2
Breathing_valence;;8;5;7;5;8;8;6;7;6;6;8;5;6;7;5;6;5;5;8;5;7;9;7;6;5;6;8;8;6;5;4;5;7;5;6;6;6;8;5;7;5;6;6;7;7;9;6;6;5;9;9;5;5;5;5;7;7;8;5;8;7;6;6;7
Breathing_arousal;;3;3;8;2;1;2;1;7;5;4;4;2;3;3;7;3;2;2;2;0;2;3;2;0;10;6;7;5;3;1;5;6;6;7;5;5;8;10;3;5;5;4;7;3;1;7;2;7;7;10;8;7;3;6;7;5;1;3;4;7;8;8;3;8
Video1_relax;8;6;3;7;10;10;9;5;4;7;8;7;1;5;8;5;7;6;3;6;6;3;3;7;3;3;7;8;8;4;6;7;8;5;6;8;3;4;7;6;3;7;6;8;2;8;10;9;6;5;7;10;7;6;9;8;8;9;8;2;2;2;7;7;5
Video1_stress;2;3;3;1;0;6;1;3;6;3;1;0;8;3;2;1;2;3;5;7;3;7;6;4;3;1;1;2;1;6;4;2;4;5;5;0;6;1;6;2;5;1;2;4;8;2;0;0;2;5;3;0;1;7;1;0;0;0;3;0;7;1;5;2;2
Video1_valence;;7;8;7;8;9;9;5;4;6;8;6;1;6;8;8;7;7;7;7;5;8;7;7;7;5;7;8;6;7;7;8;9;7;5;8;3;8;7;8;4;6;6;9;5;9;7;7;7;5;10;10;8;6;8;6;8;8;9;7;8;7;7;7;5
Video1_arousal;;2;8;7;4;9;2;4;7;6;8;3;8;7;6;3;5;7;8;8;6;3;8;6;5;3;8;9;7;7;7;7;8;6;6;7;6;9;10;9;6;6;6;7;8;3;7;8;4;7;10;9;8;2;8;7;6;1;3;4;8;8;8;6;7
Video2_relax;7;4;5;7;2;7;9;7;4;7;8;4;2;5;8;2;7;6;2;4;6;5;2;5;3;2;6;5;6;3;4;3;3;5;3;6;1;4;0;5;3;5;5;7;5;7;10;3;5;5;7;5;3;6;8;8;7;9;9;3;7;4;7;6;4
Video2_stress;3;7;4;1;9;5;2;2;6;3;3;3;6;4;2;2;2;3;6;7;4;2;8;5;6;4;2;7;3;7;4;8;8;6;5;4;7;2;8;2;4;1;2;5;5;3;0;2;4;5;3;4;8;6;1;0;1;0;3;7;4;5;4;3;3
