Instance,Breathing_relax,Breathing_stress,Breathing_valence,Breathing_arousal,Video1_relax,Video1_stress,Video1_valence,Video1_arousal,Video2_relax,Video2_stress,Video2_valence,Video2_arousal,Counting1_relax,Counting1_stress,Counting1_valence,Counting1_arousal,Counting2_relax,Counting2_stress,Counting2_valence,Counting2_arousal,Stroop_relax,Stroop_stress,Stroop_valence,Stroop_arousal,Speaking_relax,Speaking_stress,Speaking_valence,Speaking_arousal,Math_relax,Math_stress,Math_valence,Math_arousal,Reading_relax,Reading_stress,Reading_valence,Reading_arousal,Counting3_relax,Counting3_stress,Counting3_valence,Counting3_arousal,Relax_relax,Relax_stress,Relax_valence,Relax_arousal,Most_stressful
hh2e,6,5,,,8,2,,,7,3,,,6,5,,,3,7,,,6,6,,,6,6,,,5,6,,,8,4,,,5,7,,,6,6,,,Counting2
wfsl,6,4,8,3,6,3,7,2,4,7,4,2,1,9,2,8,0,10,1,9,4,7,4,7,5,4,5,5,2,6,3,6,3,5,5,6,3,7,3,6,,,,,Counting2
37ir,9,2,5,3,3,3,8,8,5,4,5,8,3,4,4,8,2,6,3,9,1,7,2,9,1,8,2,8,6,3,6,8,3,7,3,7,5,6,5,8,7,1,7,6,Speaking
hvpa,9,1,7,8,7,1,7,7,7,1,7,6,6,3,7,7,5,4,7,8,5,3,7,8,6,3,7,8,5,4,7,7,7,6,5,8,5,3,7,8,6,2,6,5,Reading
ql3b,10,1,5,2,10,0,8,4,2,9,3,3,4,2,6,6,4,7,6,6,1,8,5,9,0,8,5,10,1,7,7,9,0,9,6,10,1,9,6,10,10,0,8,8,Speaking
r0a3,10,0,8,1,10,6,9,9,7,5,8,8,7,5,5,3,3,7,5,2,2,6,5,3,9,2,9,7,5,6,5,3,5,6,6,3,2,8,3,6,10,1,6,2,Counting3
qx2o,9,2,8,2,9,1,9,2,9,2,9,2,7,5,5,5,4,7,5,6,7,2,7,2,3,7,2,8,6,6,5,6,8,2,7,3,3,6,5,6,4,5,5,3,Speaking
wssm,8,0,6,1,5,3,5,4,7,2,5,2,5,6,4,7,2,6,2,7,5,4,5,6,3,7,2,6,10,1,9,10,6,2,5,8,4,4,5,6,7,0,7,0,Speaking
ctzy,9,0,7,7,4,6,4,7,4,6,5,5,7,6,7,9,4,6,6,9,2,7,10,10,4,7,9,9,2,8,9,10,5,6,4,7,5,6,9,9,9,1,5,1,Math
uyrl,9,1,6,5,7,3,6,6,7,3,6,6,6,3,5,6,6,5,5,5,4,6,6,7,4,7,4,5,4,6,3,5,6,4,5,7,4,6,7,6,8,2,5,4,Speaking
v8mh,9,0,6,4,8,1,8,8,8,3,5,8,3,6,4,9,3,7,4,8,2,7,4,8,4,4,6,4,4,5,5,9,6,6,5,6,3,7,4,9,7,3,6,4,Counting2
45lx,7,0,8,4,7,0,6,3,4,3,4,5,2,7,5,6,1,8,5,6,4,7,5,7,3,8,3,8,6,3,6,6,7,3,6,6,1,8,5,8,7,0,6,1,Counting3
r3zm,6,3,5,2,1,8,1,8,2,6,3,6,5,5,5,7,4,6,5,7,3,7,3,8,7,2,7,5,3,6,6,7,3,7,4,7,3,7,4,7,7,2,6,1,Counting2
2hpu,9,2,6,3,5,3,6,7,5,4,5,7,4,7,8,9,6,6,9,10,3,6,5,8,3,7,4,7,4,4,9,9,7,4,6,7,2,5,8,9,8,3,6,6,Counting2
4woj,8,3,7,3,8,2,8,6,8,2,7,8,3,8,4,7,6,4,6,8,8,3,7,8,2,8,4,8,8,3,7,8,4,6,5,8,5,5,6,8,8,1,8,2,Speaking
cxj0,3,7,5,7,5,1,8,3,2,2,5,7,0,7,6,10,0,9,3,10,4,7,7,9,6,3,6,6,3,6,5,8,6,3,5,3,4,7,6,8,6,4,5,0,Counting2
tmvd,7,1,6,3,7,2,7,5,7,2,5,3,6,3,7,8,5,4,5,8,4,4,6,9,5,5,4,8,4,6,5,8,8,2,7,8,5,5,5,7,8,1,6,1,Speaking
